file,top_k,precision,recall,f1
8.csv,3,0.7617,0.5817,0.6448
6.csv,3,0.73,0.5624,0.6209
9.csv,3,0.735,0.5582,0.6204
7.csv,3,0.7284,0.5612,0.6194
5.csv,3,0.7134,0.5522,0.6082
3.csv,4,0.61,0.6223,0.6024
4.csv,4,0.61,0.6223,0.6024
2.csv,4,0.6088,0.6211,0.6012
1.csv,4,0.605,0.6178,0.5977
10.csv,3,0.6467,0.4931,0.547
11.csv,5,0.051,0.0644,0.0558
