file,top_k,precision,recall,f1
8.csv,3,0.7683,0.5829,0.6479
7.csv,3,0.7567,0.5785,0.6405
6.csv,3,0.7483,0.5728,0.6339
3.csv,4,0.6088,0.6194,0.6002
4.csv,4,0.6088,0.6194,0.6002
2.csv,4,0.6062,0.6169,0.5977
5.csv,3,0.7,0.5433,0.5973
1.csv,4,0.5962,0.6069,0.5878
9.csv,3,0.6867,0.5196,0.578
10.csv,3,0.6683,0.5068,0.5633
11.csv,5,0.051,0.0644,0.0558
