file,top_k,precision,recall,f1
6.csv,4,0.6375,0.6416,0.6252
3.csv,4,0.6238,0.6328,0.6139
4.csv,4,0.6238,0.6328,0.6139
7.csv,4,0.625,0.6255,0.6115
2.csv,4,0.6212,0.6303,0.6114
5.csv,4,0.6212,0.6298,0.6112
1.csv,5,0.52,0.6503,0.5656
8.csv,4,0.5687,0.5691,0.5563
10.csv,4,0.535,0.5375,0.5241
9.csv,4,0.535,0.5375,0.5241
11.csv,5,0.051,0.0644,0.0558
