file,top_k,precision,recall,f1
8.csv,4,0.6462,0.6462,0.6329
7.csv,3,0.7333,0.5558,0.6188
6.csv,4,0.6162,0.6217,0.606
9.csv,4,0.6188,0.6178,0.6057
5.csv,4,0.605,0.6115,0.5954
4.csv,5,0.544,0.6808,0.5925
3.csv,4,0.6,0.6049,0.5899
2.csv,4,0.5975,0.6027,0.5875
1.csv,4,0.59,0.5943,0.5799
10.csv,3,0.655,0.4918,0.5503
11.csv,5,0.051,0.0644,0.0558
