file,top_k,precision,recall,f1
8.csv,4,0.6512,0.6532,0.6385
7.csv,4,0.6262,0.6336,0.6164
9.csv,4,0.6275,0.6303,0.6156
6.csv,4,0.62,0.6286,0.6109
5.csv,4,0.6112,0.6198,0.6022
4.csv,4,0.6062,0.6151,0.5974
3.csv,4,0.605,0.6148,0.5967
2.csv,4,0.6025,0.613,0.5946
1.csv,4,0.5975,0.6073,0.5894
10.csv,3,0.66,0.4987,0.556
11.csv,5,0.051,0.0644,0.0558
