file,top_k,precision,recall,f1
5.csv,3,0.7267,0.551,0.6124
4.csv,3,0.7183,0.546,0.6061
3.csv,4,0.6162,0.6168,0.6032
6.csv,4,0.615,0.6152,0.6017
2.csv,4,0.6138,0.6139,0.6005
7.csv,3,0.675,0.5151,0.5707
1.csv,4,0.5725,0.5743,0.5606
8.csv,4,0.535,0.5319,0.5221
10.csv,3,0.6167,0.4643,0.5179
9.csv,3,0.6167,0.4643,0.5179
11.csv,5,0.051,0.0644,0.0558
