hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.005,T1036.007,T1037.005,T1038,T1039,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1058,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1093,T1095,T1096,T1098,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1134.001,T1134.002,T1135,T1136,T1136.001,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1201,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.002,T1218.004,T1218.009,T1218.010,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1499.001,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1546.001,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1552.004,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.004,T1562.006,T1562.009,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1568,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.008,T1574.010,T1592,T1592.003,T1592.004,T1614,T1614.001,T1620,T1622,T1652
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0.0,0.0,0.0,0.0,0.0,0.0,0.2958135161673613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222368601634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2493795556663667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22651545034517992,0.0,0.0,0.0,0.0,0.0,0.5611843568632752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197208214148768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280515073841834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25022231629851965,0.5044088423970888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.0,0.0,0.12659660390712452,0.0,0.2164987097402077,0.0,0.0871623424128419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06552157740673473,0.0,0.0,0.0,0.0,0.0,0.0,0.15000955355336057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1381276379215964,0.0,0.13925995631490712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13486914063567684,0.22739525488237752,0.0,0.0,0.0,0.1284299946613062,0.0,0.0,0.0,0.1653546589195515,0.0,0.2544352302212827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18705223516420325,0.05810799354595732,0.08374606895517217,0.0,0.1672623921036014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10242612451974138,0.0,0.10446229349124836,0.21067593704543874,0.0,0.20157923849883233,0.0,0.0,0.1756655581273742,0.0,0.0,0.0,0.2937088425287295,0.0,0.08265461036044203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07372875822282124,0.148625582788469,0.2937088425287295,0.0,0.0,0.0,0.0,0.0910440502277031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18565915828085933,0.0,0.0,0.0,0.34221165374341256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12310998643055393,0.0,0.0,0.0,0.0,0.0,0.2164987097402077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21528178565314599,0.0,0.0,0.0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0.0,0.0,0.17791367407107134,0.0,0.0,0.0,0.12249438058137957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09208133715748311,0.10349886325183734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19411891626586403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18953955784552382,0.0,0.0,0.09379851922130163,0.0,0.1804902462303348,0.0,0.0,0.0,0.2323826547095127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11574649631783332,0.23713986968551864,0.0,0.0,0.0,0.26287553831763244,0.08166259050869817,0.11769329000132414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468070221737807,0.0,0.0,0.0,0.0,0.0,0.24687316949761906,0.0,0.0,0.0,0.0,0.0,0.11615939886450226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21180916891396762,0.0,0.0,0.0,0.36501815250807185,0.3042584057767059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32394917194721623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706796954979718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22195699478379624,0.0,0.23644135671763267,0.0,0.0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.0,0.0,0.0,0.0,0.0,0.14708507738408236,0.10909784402026114,0.0,0.0,0.15651149343239382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10843195559290336,0.0,0.0,0.0,0.0,0.0,0.0,0.1728891982443694,0.0,0.17430647882718778,0.0,0.0,0.2970816003671742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16881065906335582,0.2846221356764508,0.0,0.08354029116085498,0.0,0.0,0.0,0.0,0.24463471710391477,0.0,0.0,0.0,0.0,0.0,0.16434948024454618,0.0,0.0,0.1971750730069618,0.1030879387384261,0.21120518664730079,0.0,0.0,0.0,0.0,0.07273160221165856,0.10482182230608911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14406767529761103,0.0,0.0,0.0,0.0,0.1282029491994036,0.0,0.1307515457458364,0.2636951908628294,0.0,0.0,0.0,0.0,0.2198740090019516,0.0,0.0,0.0,0.0,0.0,0.10345568440494776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407601441948706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09228352912204206,0.0,0.0,0.0,0.0,0.0,0.0,0.11395643251151721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14950342397330793,0.13320922960089682,0.0,0.0,0.0,0.19975342717384673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13225314748648562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22353545661235025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0.0,0.17906216601613545,0.15839275205841052,0.0,0.0,0.1470261508160926,0.10905413624488698,0.0,0.0,0.1564487903674538,0.0,0.0,0.0,0.0,0.08197805189367195,0.09214283202777822,0.0,0.1917560686151635,0.0,0.0,0.0,0.0,0.10838851459183688,0.0,0.0,0.0,0.0,0.0,0.0,0.17281993379364313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09193586686871612,0.0,0.0,0.0,0.0,0.0,0.16874302859427218,0.2845081077551442,0.0,0.08350682248589132,0.0,0.16068661933597453,0.0,0.0,0.24453670930770283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10304663870623365,0.21112057169511048,0.0,0.0,0.0,0.0,0.07270246381244803,0.1047798276296149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440099575888228,0.0,0.0,0.0,0.16216170919844536,0.0,0.0,0.13069916286657232,0.2635895468854164,0.0,0.2522081111045657,0.0,0.0,0.21978592106692063,0.0,0.0,0.0,0.0,0.0,0.10341423704312536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188569188684655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09224655765117733,0.0,0.0,0.0,0.0,0.0,0.0,0.11391077824401648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315586210186467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15403043173981718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20747402888904407,0.0,0.0,0.0,0.0,0.0,0.1976035817706502,0.2693522057089845,0.0,0.0,0.0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793815016337832,0.0,0.0,0.0,0.0,0.14639391704642316,0.16454587290989678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30133617913039185,0.0,0.0,0.0,0.0,0.2869492879881018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18401755994689084,0.3770127094458705,0.0,0.0,0.0,0.0,0.12982985336410108,0.0,0.0,0.0,0.0,0.0,0.4732001864739503,0.0,0.0,0.0,0.0,0.2571686115749771,0.0,0.0,0.0,0.2895834586956793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184674005900341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24092115154141716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20341841060796534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0.0,0.22020157814163954,0.19478338023855082,0.0,0.0,0.18080531001103228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10081245414141328,0.11331258566998695,0.0,0.2358118963192403,0.0,0.0,0.0,0.0,0.13329070286908012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20751162584233596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25441708867776575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08940580594140637,0.12885292250609248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12717358840145943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14008170287862198,0.0,0.1868634785986201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245548229421145,0.0,0.0,0.3192115065521546,0.30734403453147774,0.0,0.0,0.0,0.0,0.3145562499089754,0.38768894002637355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27478244734314244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0.0,0.1867808028431363,0.165220415078291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08551179006086952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11306069967127508,0.0,0.0,0.0,0.0,0.0,0.0,0.18026949354765207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09589884566833132,0.0,0.0,0.0,0.0,0.0,0.17601684965756728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21580330386951274,0.0,0.3320617856268977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24412067133984564,0.07583636935531907,0.10929645698947571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2749518130138118,0.0,0.0,0.0,0.0,0.22925999223531346,0.0,0.0,0.0,0.0,0.0,0.1078720013840601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19669763433345777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118821005499211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2082805028694723,0.0,0.0,0.2707636429028118,0.2606973392439221,0.0,0.0,0.0,0.0,0.2668149310879739,0.32884801318250634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23307773974690113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20225284176714137,0.22733096475947212,0.0,0.0,0.0,0.0,0.0,0.0,0.2674116374410999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4163157854232934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2542323833203513,0.5208678981079287,0.0,0.0,0.0,0.0,0.17936849644356365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227586872305601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492625912287114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0.0,0.0,0.0,0.0,0.2660419075923307,0.0,0.10710842514283024,0.0,0.1843374855780868,0.0,0.0,0.0,0.0,0.0,0.08051542414577689,0.0,0.0,0.0,0.0,0.0,0.0,0.1843374855780868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697365325085794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3754355312188794,0.09029557478073896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08201691887285072,0.0,0.15781969699850446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18787834131679185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07140532831756771,0.10291037745642083,0.0,0.20553843446501738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15926846875126605,0.0,0.0,0.0,0.2588866614615258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015691513264892,0.0,0.0,0.0,0.0,0.0,0.23623029924156214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645465046594197,0.0,0.0,0.0,0.0,0.09060072231169632,0.0,0.0,0.0,0.0,0.0,0.1770119470879786,0.11187841639599261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22814508543859965,0.0,0.0,0.13078013525539506,0.0,0.0,0.36092067632570685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151282267099663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19407799809178855,0.0,0.0,0.0,0.0
