sha256,rank,action,score
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,1,D3-PT - Process Termination,1.635474
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,2,D3-OTF - Outbound Traffic Filtering,1.020034
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,3,D3-PCSV - Process Code Segment Verification,1.011601
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,4,D3-FEV - File Eviction,0.820644
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,5,D3-EDL - Executable Denylisting,0.803838
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,6,D3-PLA - Process Lineage Analysis,0.803838
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,7,D3-PSA - Process Spawn Analysis,0.799390
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,8,D3-NI - Network Isolation,0.632246
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,9,D3-CAA - Connection Attempt Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,10,D3-CCSA - Credential Compromise Scope Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,11,D3-CQ - Content Quarantine,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,12,D3-CR - Credential Revocation,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,13,D3-CRO - Credential Rotation,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,14,D3-DNSDL - DNS Denylisting,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,15,D3-DNSTA - DNS Traffic Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,16,D3-EAL - Executable Allowlisting,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,17,D3-FA - File Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,18,D3-FIM - File Integrity Monitoring,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,19,D3-FRDDL - Forward Resolution Domain Denylisting,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,20,D3-RC - Restore Configuration,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,21,D3-RF - Restore File,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,22,D3-RTSD - Remote Terminal Session Detection,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,23,D3-SCA - System Call Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,24,D3-SJA - Scheduled Job Analysis,0.600000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,25,D3-EI - Execution Isolation,0.203838
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,26,D3-CE - Credential Eviction,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,27,D3-FAPA - File Access Pattern Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,28,D3-FCA - File Creation Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,29,D3-FCOA - File Content Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,30,D3-FHRA - File Hash Reputation Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,31,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,32,D3-ITF - Inbound Traffic Filtering,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,33,D3-NTA - Network Traffic Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,34,D3-PA - Process Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,35,D3-PSMD - Process Self,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,36,D3-RKD - Registry Key Deletion,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,37,D3-RUAA - Restore User Account Access,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,38,D3-SEA - Script Execution Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,39,D3-SICA - System Init Config Analysis,0.000000
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,40,D3-ST - Session Termination,0.000000
