file,top_k,precision,recall,f1
1.csv,4,0.5813,0.5965,0.575
10.csv,3,0.5283,0.3956,0.4426
11.csv,5,0.11,0.1417,0.1209
2.csv,5,0.534,0.6734,0.5829
3.csv,4,0.5962,0.6082,0.5884
4.csv,4,0.5962,0.6085,0.5883
5.csv,4,0.5988,0.6082,0.5896
6.csv,4,0.6075,0.6137,0.5969
7.csv,4,0.6,0.6014,0.5873
8.csv,4,0.5487,0.5448,0.5352
9.csv,3,0.54,0.4031,0.4518
