file,top_k,precision,recall,f1
1.csv,4,0.5925,0.6089,0.5864
10.csv,3,0.525,0.3952,0.4412
11.csv,5,0.11,0.1417,0.1209
2.csv,4,0.595,0.6108,0.5886
3.csv,4,0.595,0.6088,0.5879
4.csv,4,0.5962,0.6098,0.589
5.csv,3,0.705,0.5486,0.6021
6.csv,3,0.71,0.5483,0.6039
7.csv,3,0.705,0.5393,0.5966
8.csv,4,0.565,0.564,0.5523
9.csv,4,0.4938,0.4873,0.4804
