file,top_k,precision,recall,f1
1.csv,4,0.5775,0.5928,0.5713
10.csv,3,0.5333,0.3979,0.446
11.csv,5,0.11,0.1417,0.1209
2.csv,5,0.534,0.6738,0.5829
3.csv,5,0.537,0.677,0.586
4.csv,3,0.68,0.53,0.5811
5.csv,3,0.695,0.5398,0.5929
6.csv,4,0.6125,0.6168,0.6009
7.csv,4,0.5925,0.5908,0.5786
8.csv,4,0.5325,0.5228,0.5169
9.csv,3,0.535,0.3992,0.4474
