file,top_k,precision,recall,f1
1.csv,5,0.54,0.6797,0.589
10.csv,3,0.535,0.3992,0.4474
11.csv,5,0.11,0.1417,0.1209
2.csv,5,0.541,0.6812,0.5903
3.csv,4,0.5962,0.6083,0.5886
4.csv,4,0.5975,0.6099,0.59
5.csv,4,0.5988,0.6118,0.5914
6.csv,4,0.6,0.6102,0.5914
7.csv,4,0.6012,0.6086,0.5911
8.csv,4,0.6062,0.6065,0.593
9.csv,4,0.5387,0.5279,0.5227
