sha256,precision_top1,recall_top1,f1_top1,precision_top2,recall_top2,f1_top2,precision_top3,recall_top3,f1_top3,precision_top4,recall_top4,f1_top4,precision_top5,recall_top5,f1_top5
8025918ab649e33642c4eb74c2814397e971d5ab68e631e91649354c8dec2be5,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
cd2bc2ceb0e1b7d7c31f7a2aec7e838d3a90767ed3d02e1720170875e4a23cb6,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
d3cf4b037c360479189571116894759683426af15cf85197f7e7dc9c180f7963,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
d3e842a19d952d896bf00b7c9ae1cbdd9ca4813940f709f77abf3e45f6695951,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
d5d744e0f7984ec01593da35f26bf24e95e4b1cc8bd1c0ff4f31de5dbf94e38f,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
d8af26541263929cbba975eff6cc79173eae5fb97f05e8fa36297ba83c6ef2c9,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
d9c17024439eb223bf22e9275890ccb24f395702bc5fca12d072b565dfe66e78,1.0,0.25,0.4,1.0,0.5,0.6667,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
d23c897e7bb23a6a525d1206dc792f0b81c34b4cce433614c08ce87aecd247fe,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
d74f04f0b948d9586629e06e2a2a21bdf20d678e47058afb637414eb3701c1f6,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
d727f725ef0c3837013468f9675b6a0531658d8e60f01e5762e130cbabd665d0,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
d821b0ee9766ec7da7d7dc179a3ef189ffd3e681d787c1f11fedb270fdad96d2,1.0,0.3333,0.5,1.0,0.6667,0.8,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
d4989fbd8ab2cd81f7e882649dcd1cf1c27b48a7e1895538d557469b307571d2,1.0,0.25,0.4,1.0,0.5,0.6667,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,1.0,0.3333,0.5,1.0,0.6667,0.8,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
d158534622b057b387a617ebe2931fef6d5c7d386b6dfbeb652c4781846f87c1,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
dc6b0e8c1e9c113f0364e1c8370060dee3fcbe25b667ddeca7623a95cd21411f,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
df2894b4298be05620b329d27bf0b45314629316fd6a082b6d90bbdfe9bf5a53,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
e43fb62c12fcf1be9f9982e81a59350a8f9dd2389198c0b332cef832a63aac0f,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
e5093e304a50d34cdf67ee8e49713c6131d6740e664ea49d9c98682336e3141a,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
e23943f7a0d3e8bfcb2ea6debdd990281fd94e32629db00f12b8208b668bed52,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
e7266367dff0d4d6928ca09dcadff99afcb208bd9fa48a75964c427a332ac63d,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
e32998012af31476e39dedb2f725269dbd0a165d74b53a32e5e359da3a01221d,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
