hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.007,T1037.005,T1038,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1095,T1096,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1134,T1134.001,T1135,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.004,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.006,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.010,T1592,T1592.004,T1614,T1614.001,T1620,T1622
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0,0,0,0,0,0,0.294081218,0,0,0,0,0,0,0,0.223357546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225723466,0,0,0,0,0,0,0,0,0.249851837,0,0,0,0,0.531890102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192735089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298145855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232184685,0.536093319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0,0,0.134924462,0,0.267531655,0,0.085653514,0,0,0,0,0,0,0,0.065054677,0,0,0,0,0,0,0.183863048,0,0,0,0,0,0.125034459,0,0.133686169,0,0,0,0,0,0,0,0,0,0,0,0,0.127160922,0.213490406,0,0,0.125034459,0,0,0,0.15491726,0,0.23809296,0,0,0,0,0,0,0,0,0,0,0,0.178917982,0.056135641,0.088398739,0,0.200757706,0,0,0,0,0,0,0,0,0,0,0.093374279,0,0.134095778,0.195366872,0,0.184908972,0,0,0.16559174,0,0,0,0.278340458,0,0.086837373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067625652,0.156141481,0.284684651,0,0,0,0.082565476,0,0,0,0,0,0,0,0.205187329,0,0,0.322019906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128256486,0,0,0,0,0.23809296,0,0,0,0,0,0,0,0,0.206748695,0,0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0,0,0.192005179,0,0,0,0.12188982,0,0,0,0,0,0,0,0.092576504,0.100256515,0,0,0,0,0,0,0,0,0,0,0,0.177931143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18095722,0,0,0.103557771,0.177931143,0,0,0,0.220456067,0,0,0,0,0,0,0,0,0.106811846,0.221322185,0,0,0,0.254610459,0.079884208,0.125796431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190825915,0,0,0,0,0,0.235646459,0,0,0,0,0,0.123574517,0,0,0,0,0,0.207057323,0,0,0,0.338819817,0.342964105,0,0,0,0,0,0,0.296503395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217914928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254610459,0,0.210005789,0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0,0,0,0,0,0.135543642,0.105567462,0,0,0.142358472,0,0,0,0,0,0,0,0,0,0,0,0,0.11026556,0,0,0,0,0.15410425,0,0.164767431,0,0,0.35087219,0,0,0,0,0,0,0,0,0,0.156725102,0.263125694,0,0.089690272,0,0,0,0.272625631,0,0,0,0,0,0.149953754,0,0,0.175674905,0.092508591,0.191684765,0,0,0,0,0.069186854,0.108950936,0,0,0,0,0,0,0,0,0.129363712,0,0,0,0.11508326,0,0.165272273,0.240788543,0,0,0,0,0.204090865,0,0,0,0,0,0.107026561,0,0,0,0,0,0,0,0,0,0,0,0,0.313721361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083348226,0,0,0,0,0,0.101761473,0,0,0,0,0,0,0,0,0.218225971,0.177477359,0,0,0,0.229213864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120021321,0,0,0,0,0,0,0,0,0,0,0.205935047,0,0,0,0,0,0,0,0,0,0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0,0.180537894,0.169161296,0,0,0.137881044,0.107387936,0,0,0.144813394,0,0,0,0,0.081562182,0.088328461,0,0.225513363,0,0,0,0,0.112167051,0,0,0,0,0.156761723,0,0,0,0,0,0,0,0,0.082426131,0,0,0,0,0,0.159427772,0.267663204,0,0.091236949,0.156761723,0,0,0.277326964,0,0,0,0,0,0,0,0,0,0.094103869,0.194990301,0,0,0,0,0.070379957,0.110829757,0,0,0,0,0,0,0,0,0.131594543,0,0,0.160340368,0,0,0.168122335,0.244940856,0,0.231829283,0,0,0.20761034,0,0,0,0,0,0.108872196,0,0,0,0,0,0.182422606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084785537,0,0,0,0,0,0.103516314,0,0,0,0,0,0,0,0,0,0.180537894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160801333,0,0,0,0,0,0,0,0,0.199759185,0,0,0,0.224318091,0.259210796,0,0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0,0,0,0,0,0,0,0,0,0.265014309,0,0,0,0,0.149262058,0.16164462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291759205,0,0,0,0.28688023,0,0,0,0,0,0,0,0,0,0,0,0,0.172213848,0.356840058,0,0,0,0,0.128798138,0,0,0,0,0,0.457410182,0,0,0,0.240823283,0,0,0.293429293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199240478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333840672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189438998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0,0.209104085,0.195927388,0,0,0.159697718,0,0,0,0,0,0,0,0,0.094467622,0.102304517,0,0.261195944,0,0,0,0,0.129915045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184653746,0,0,0,0,0,0,0,0.224959461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081516053,0.128366153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126098851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119895517,0,0.222366413,0,0,0,0,0,0,0,0,0,0,0,0.270060112,0,0,0.293611483,0.283697415,0,0,0,0.38848981,0.38848981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242632976,0,0,0,0,0,0,0,0,0,0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0,0.186401108,0.174655039,0,0,0,0,0,0,0,0,0,0,0,0.084211025,0,0,0,0,0,0,0,0.115809828,0,0,0,0,0.161852774,0,0,0,0,0,0,0,0,0.085103032,0,0,0,0,0,0.164605406,0,0,0,0,0,0,0,0.200535023,0,0.308203084,0,0,0,0,0,0,0,0,0,0,0,0.231603126,0.072665641,0.114429104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252895644,0,0,0,0,0.214352768,0,0,0,0,0,0.112407969,0,0,0,0,0,0.188347028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106878147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240738978,0,0,0.261733316,0.252895644,0,0,0,0.346310454,0.346310454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216289678,0,0,0,0,0,0,0,0,0,0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200284073,0.216899346,0,0,0,0,0,0,0.27543738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391490795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231081437,0.478818133,0,0,0,0,0.172825003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208199343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572563785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0,0,0,0,0.296234749,0,0.094843159,0,0.186718864,0,0,0,0,0,0.072034302,0,0,0,0,0,0,0.203589455,0,0,0,0,0,0.13844923,0,0,0,0,0,0,0,0.323192187,0.072797327,0,0,0,0,0,0,0,0,0.080578888,0.13844923,0,0,0,0,0,0,0,0,0,0,0.199169484,0,0,0,0,0,0,0,0.062158355,0.097882916,0,0.222296717,0,0,0,0,0,0,0,0,0,0.141609827,0,0,0,0.216327508,0,0,0,0,0,0,0,0,0,0,0.096154032,0,0,0,0.315228066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296234749,0,0,0,0,0.074881113,0,0,0,0,0.227201588,0.09142381,0,0,0,0,0,0,0,0.227201588,0,0.159447931,0,0,0.315228066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142016944,0,0,0,0,0,0,0,0,0,0,0,0,0.19811384,0,0,0
