hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.005,T1036.007,T1037.005,T1038,T1039,T1040,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1058,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1093,T1095,T1096,T1098,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1134.001,T1134.002,T1135,T1136,T1136.001,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1201,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.002,T1218.004,T1218.010,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1499.001,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1546.001,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1552.004,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.004,T1562.006,T1562.009,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.008,T1574.010,T1592,T1592.003,T1592.004,T1614,T1614.001,T1620,T1622,T1652
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0.0,0.0,0.0,0.0,0.0,0.0,0.2959858522821015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22249814994351005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24952484011542098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266474145405517,0.0,0.0,0.0,0.0,0.0,0.5615112936880959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19732310442782486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28067849733437183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2503680917261299,0.5035467321582296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.0,0.0,0.12619945506797042,0.0,0.21581952713500321,0.0,0.08688890361560049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06531602830349242,0.0,0.0,0.0,0.0,0.0,0.0,0.1498895734073702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376943148358057,0.0,0.13882308100953408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13470922147485687,0.22821149723539938,0.0,0.0,0.0,0.1282600650804356,0.0,0.0,0.0,0.16483592137990313,0.0,0.2536370361686491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18646542970683772,0.05792570175083712,0.08348334742044866,0.0,0.16722401244765242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10224722471006657,0.0,0.10413458265766344,0.21112596340426698,0.0,0.2018808279366682,0.0,0.0,0.1751144740513683,0.0,0.0,0.0,0.29278744241008847,0.0,0.08239531286317689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07349746220194261,0.14781998240492514,0.2983470857130091,0.0,0.0,0.0,0.0,0.09075843404414144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18507672307395867,0.0,0.0,0.0,0.3411380944469175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12293442573749536,0.0,0.0,0.0,0.0,0.21706117986918153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21581952713500321,0.0,0.0,0.0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0.0,0.0,0.17783534602733772,0.0,0.0,0.0,0.12244045136402514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09204079754723908,0.10333702121662505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19403345372318884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18982697667871723,0.0,0.0,0.09375722360670607,0.0,0.18073907722329874,0.0,0.0,0.0,0.232280346222905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1156955379152657,0.2377402903947715,0.0,0.0,0.0,0.26275980507357827,0.08162663784236061,0.11764147450589069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14674238910432566,0.0,0.0,0.0,0.0,0.0,0.24676448143573718,0.0,0.0,0.0,0.0,0.0,0.11610825867799418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21221664949220326,0.0,0.0,0.0,0.36485745008897724,0.30412445336501837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32380655050431567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708922057614544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22185927628472538,0.0,0.23633726135213523,0.0,0.0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.0,0.0,0.0,0.0,0.0,0.14716952045412773,0.10898420307276066,0.0,0.0,0.15634846441410202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10831900826306778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17270910951321686,0.0,0.17412491379639106,0.0,0.0,0.29677214755576564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16896492576243483,0.2862442397509545,0.0,0.08345327204579142,0.0,0.0,0.0,0.0,0.24437989519342826,0.0,0.0,0.0,0.0,0.0,0.16448684836764438,0.0,0.0,0.1969696870772836,0.10298055796349594,0.21161254959709824,0.0,0.0,0.0,0.0,0.07265584188602806,0.10471263544440026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14414466280455365,0.0,0.0,0.0,0.0,0.12824804822865038,0.0,0.1306153493830288,0.2648139625673863,0.0,0.0,0.0,0.0,0.21964497889656223,0.0,0.0,0.0,0.0,0.0,0.10334792057051391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34040519395727004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09218740267901016,0.0,0.0,0.0,0.0,0.0,0.0,0.11383773065190962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14910210523854023,0.1328783502118964,0.0,0.0,0.0,0.19954535552097072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13230530484478975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22255473653490282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0.0,0.17869340025619185,0.15806655348234105,0.0,0.0,0.14696067683159772,0.10882954702918568,0.0,0.0,0.15612659524184078,0.0,0.0,0.0,0.0,0.08180922394258741,0.09184972029313293,0.0,0.19136116066816428,0.0,0.0,0.0,0.0,0.10816529617645697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17246402346575695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917465315078959,0.0,0.0,0.0,0.0,0.0,0.16872515296798762,0.2858380395827847,0.0,0.08333484614080618,0.0,0.16064749586886842,0.0,0.0,0.24403310339558718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10283442150325,0.21131225690541658,0.0,0.0,0.0,0.0,0.07255273827346873,0.10456404104765703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14394011166206452,0.0,0.0,0.0,0.16212613479970295,0.0,0.0,0.13042999726229756,0.26443817342933357,0.0,0.2528585140793497,0.0,0.0,0.2193332876379257,0.0,0.0,0.0,0.0,0.0,0.10320126279758451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886259122618176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09205658244484953,0.0,0.0,0.0,0.0,0.0,0.0,0.11367618712050055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326897867380981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15397705933191877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2070467509238879,0.0,0.0,0.0,0.0,0.0,0.19719663128736017,0.2703169265671155,0.0,0.0,0.0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27910812498382404,0.0,0.0,0.0,0.0,0.14625066962888647,0.16420010422692394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016306159085666,0.0,0.0,0.0,0.0,0.28719015671770837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18383749754555873,0.37776374819173036,0.0,0.0,0.0,0.0,0.12970281399259717,0.0,0.0,0.0,0.0,0.0,0.47273715695702867,0.0,0.0,0.0,0.0,0.25732230062232553,0.0,0.0,0.0,0.2898335253178757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18449330116229515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24068540859878296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203219364345751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0.0,0.2202171395817147,0.19479714539829582,0.0,0.0,0.18111054933449233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10081957846348759,0.11319322731189359,0.0,0.23582856092593632,0.0,0.0,0.0,0.0,0.1333001223986892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20793252861508527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25443506809604677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089412124166295,0.12886202842190383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12718257564029645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14009160232186563,0.0,0.1871917737210246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24556558208541718,0.0,0.0,0.3192340649314924,0.30736575424764045,0.0,0.0,0.0,0.0,0.31457847930566973,0.38771633764204433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27388151069903793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0.0,0.1867114257956987,0.16515904632732692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854800279342204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11301870489769542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18020253503256356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09586322541901302,0.0,0.0,0.0,0.0,0.0,0.17629590031352452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157231468307708,0.0,0.33193844604433365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2440299962215345,0.07580820102477237,0.10925586038979361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2763035922144544,0.0,0.0,0.0,0.0,0.2291748369028877,0.0,0.0,0.0,0.0,0.0,0.10783193387796046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1970896125426321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11877687114273741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20820314006715024,0.0,0.0,0.2706630716352505,0.260600506960324,0.0,0.0,0.0,0.0,0.266715826512721,0.3287258673095737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23221084180290263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20203285189847792,0.22682846802118498,0.0,0.0,0.0,0.0,0.0,0.0,0.2671207745267114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166770224473953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25395585544500493,0.5218484645895899,0.0,0.0,0.0,0.0,0.17917339781538016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273393266804786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4920900844154393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0.0,0.0,0.0,0.0,0.26433944577545176,0.0,0.10642301431518303,0.0,0.183157868676914,0.0,0.0,0.0,0.0,0.0,0.08000018789402048,0.0,0.0,0.0,0.0,0.0,0.0,0.1835873115282949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16865035037982964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38166329067542565,0.08971775315222733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08149207421968033,0.0,0.15709512002256115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18667606568583933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07094838961162277,0.10225183087717805,0.0,0.20481882875736487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15854106201532706,0.0,0.0,0.0,0.25859068869232427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10091918755397289,0.0,0.0,0.0,0.0,0.0,0.23471860859068575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262853612261198,0.0,0.0,0.0,0.0,0.09002094797571587,0.0,0.0,0.0,0.0,0.0,0.17587920795008888,0.11116248132481983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266851338836628,0.0,0.0,0.12975563584510913,0.0,0.0,0.3654206101413848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505721859257213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19283604946708588,0.0,0.0,0.0,0.0
