file,top_k,precision,recall,f1
7.csv,3,0.745,0.5677,0.6295
6.csv,3,0.7367,0.5627,0.6232
8.csv,3,0.7383,0.5606,0.6227
5.csv,3,0.6967,0.5384,0.5931
2.csv,3,0.6867,0.5319,0.5852
3.csv,3,0.6867,0.5319,0.5852
4.csv,3,0.6867,0.5319,0.5852
1.csv,4,0.5763,0.5853,0.5674
9.csv,4,0.5725,0.5743,0.561
10.csv,3,0.65,0.491,0.5469
11.csv,5,0.051,0.0644,0.0558
