file,top_k,precision,recall,f1
7.csv,3,0.7483,0.5722,0.6336
6.csv,3,0.7367,0.5633,0.6237
8.csv,4,0.6262,0.6271,0.613
5.csv,3,0.715,0.5498,0.607
2.csv,3,0.7,0.5395,0.595
3.csv,3,0.7,0.5395,0.595
4.csv,3,0.7,0.5395,0.595
1.csv,4,0.5763,0.5857,0.5676
10.csv,3,0.655,0.4964,0.552
9.csv,3,0.655,0.4964,0.552
11.csv,5,0.051,0.0644,0.0558
