file,top_k,precision,recall,f1
6.csv,4,0.5837,0.5895,0.5735
5.csv,4,0.5837,0.5893,0.5734
4.csv,4,0.5663,0.5737,0.5572
3.csv,5,0.491,0.6145,0.5348
7.csv,4,0.5375,0.5478,0.5303
2.csv,5,0.487,0.607,0.5297
1.csv,4,0.5225,0.5294,0.5144
8.csv,4,0.445,0.4535,0.4389
10.csv,3,0.4783,0.3564,0.4
9.csv,3,0.4783,0.3564,0.4
11.csv,5,0.11,0.1417,0.1209
