file,top_k,precision,recall,f1
4.csv,3,0.6083,0.4603,0.5125
5.csv,4,0.5212,0.5205,0.5101
3.csv,4,0.5025,0.5047,0.4929
2.csv,4,0.5,0.5027,0.4907
1.csv,4,0.4788,0.4813,0.4698
6.csv,4,0.4637,0.466,0.455
7.csv,4,0.3825,0.3747,0.3716
10.csv,3,0.4067,0.2944,0.3358
8.csv,3,0.4067,0.2944,0.3358
9.csv,3,0.4067,0.2944,0.3358
11.csv,5,0.11,0.1417,0.1209
