file,top_k,precision,recall,f1
6.csv,4,0.6112,0.6187,0.6013
7.csv,4,0.6038,0.6107,0.5938
5.csv,4,0.5975,0.6042,0.5876
4.csv,4,0.58,0.5886,0.5714
3.csv,4,0.5687,0.5776,0.5606
2.csv,4,0.56,0.5706,0.5529
1.csv,4,0.5475,0.5583,0.5408
8.csv,5,0.472,0.5983,0.5166
9.csv,3,0.51,0.3791,0.4261
10.csv,3,0.5083,0.3781,0.4249
11.csv,5,0.11,0.1417,0.1209
