file,top_k,precision,recall,f1
8.csv,3,0.7517,0.5633,0.6305
7.csv,4,0.6275,0.6385,0.6188
5.csv,4,0.625,0.6385,0.6175
6.csv,4,0.6238,0.6379,0.6165
3.csv,4,0.6212,0.6346,0.6137
4.csv,4,0.62,0.6329,0.6122
2.csv,4,0.62,0.6321,0.612
1.csv,4,0.6138,0.624,0.6051
9.csv,3,0.6983,0.5219,0.5849
10.csv,4,0.5537,0.5591,0.5442
11.csv,5,0.051,0.0644,0.0558
