file,top_k,precision,recall,f1
8.csv,3,0.755,0.5673,0.6342
6.csv,4,0.63,0.6434,0.6224
7.csv,4,0.6288,0.6407,0.6206
5.csv,4,0.6275,0.6421,0.6205
3.csv,4,0.6238,0.6369,0.6162
4.csv,4,0.6238,0.6369,0.6162
2.csv,4,0.6212,0.6332,0.6133
1.csv,4,0.615,0.6251,0.6064
9.csv,3,0.715,0.533,0.5981
10.csv,4,0.555,0.5603,0.5454
11.csv,5,0.051,0.0644,0.0558
