sha256,rank,action,score
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,1,D3-PCSV - Process Code Segment Verification,1.231738
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,2,D3-FEV - File Eviction,1.053658
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,3,D3-CQ - Content Quarantine,0.810904
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,4,D3-OTF - Outbound Traffic Filtering,0.805284
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,5,D3-EDL - Executable Denylisting,0.792040
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,6,D3-PT - Process Termination,0.664562
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,7,D3-EAL - Executable Allowlisting,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,8,D3-FA - File Analysis,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,9,D3-FIM - File Integrity Monitoring,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,10,D3-PSA - Process Spawn Analysis,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,11,D3-RC - Restore Configuration,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,12,D3-RF - Restore File,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,13,D3-RTSD - Remote Terminal Session Detection,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,14,D3-SCA - System Call Analysis,0.600000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,15,D3-CCSA - Credential Compromise Scope Analysis,0.210904
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,16,D3-CR - Credential Revocation,0.210904
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,17,D3-ST - Session Termination,0.210904
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,18,D3-NI - Network Isolation,0.205284
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,19,D3-PLA - Process Lineage Analysis,0.192040
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,20,D3-FCOA - File Content Analysis,0.191325
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,21,D3-CAA - Connection Attempt Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,22,D3-CE - Credential Eviction,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,23,D3-CRO - Credential Rotation,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,24,D3-DNSDL - DNS Denylisting,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,25,D3-DNSTA - DNS Traffic Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,26,D3-EI - Execution Isolation,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,27,D3-FAPA - File Access Pattern Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,28,D3-FCA - File Creation Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,29,D3-FHRA - File Hash Reputation Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,30,D3-FRDDL - Forward Resolution Domain Denylisting,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,31,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,32,D3-ITF - Inbound Traffic Filtering,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,33,D3-NTA - Network Traffic Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,34,D3-PA - Process Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,35,D3-PSMD - Process Self,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,36,D3-RKD - Registry Key Deletion,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,37,D3-RUAA - Restore User Account Access,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,38,D3-SEA - Script Execution Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,39,D3-SICA - System Init Config Analysis,0.000000
28e575260cc878a8215800ebdaa02684d6997954a381c748e1e0fde409fadbd9,40,D3-SJA - Scheduled Job Analysis,0.000000
