hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.005,T1036.007,T1037.005,T1038,T1039,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1058,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1073,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1093,T1095,T1096,T1098,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1134.001,T1134.002,T1135,T1136,T1136.001,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1201,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.002,T1218.004,T1218.010,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1499.001,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1546.001,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1552.004,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.004,T1562.006,T1562.009,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.008,T1574.010,T1592,T1592.003,T1592.004,T1614,T1614.001,T1620,T1622,T1652
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0.0,0.0,0.0,0.0,0.0,0.0,0.2961172446670885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22232388107418732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24932940293193928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264698958120727,0.0,0.0,0.0,0.0,0.0,0.561071497050291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197168553595341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28079220088634627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250171994076461,0.5043074007105481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.0,0.0,0.12651599636656832,0.0,0.21597575829141058,0.0,0.08705858895127909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06536331039501239,0.0,0.0,0.0,0.0,0.0,0.0,0.14999807805334783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13751533106448288,0.0,0.13892357465239424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13454336496441263,0.22837669890455253,0.0,0.0,0.0,0.128352912185396,0.0,0.0,0.0,0.1649552456456752,0.0,0.2513641071381019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18660041151362702,0.057967634005487004,0.08354378078383054,0.0,0.16734506544591718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10232124119211504,0.0,0.10420996539288938,0.21127879690292273,0.0,0.20202696890743074,0.0,0.0,0.17524123893287785,0.0,0.0,0.0,0.2929993904266397,0.0,0.08255301992010716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07355066681074353,0.14826657850645358,0.29856305833990937,0.0,0.0,0.0,0.0,0.09082413382252881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18452932234000208,0.0,0.0,0.0,0.3413850433662185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12302341762692356,0.0,0.0,0.0,0.0,0.21721830985455537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21597575829141058,0.0,0.0,0.0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0.0,0.0,0.17818124036024638,0.0,0.0,0.0,0.12261064062133749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0920556771848075,0.10335372704126021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19367236524482903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18948673954351608,0.0,0.0,0.09377238072772053,0.0,0.1807682961352943,0.0,0.0,0.0,0.2323178974768942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1157142416609778,0.2377787243224509,0.0,0.0,0.0,0.0,0.26280228374359454,0.08163983389041093,0.1176604928385248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14676611199269674,0.0,0.0,0.0,0.0,0.0,0.24680437424573418,0.0,0.0,0.0,0.0,0.0,0.11626513569264163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21175014482011156,0.0,0.0,0.0,0.3649164342217329,0.304173619188896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32385889820492436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709198327937353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22189514283206396,0.0,0.2363754684612276,0.0,0.0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.0,0.0,0.0,0.0,0.0,0.14708644821013686,0.10923284661273416,0.0,0.0,0.15623973127835036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10843296617366732,0.0,0.0,0.0,0.0,0.0,0.0,0.1725411730883024,0.0,0.1743081033554329,0.0,0.0,0.2948381893590291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16881223237081733,0.28654538537632757,0.0,0.08354106975246851,0.0,0.0,0.0,0.0,0.2436097523511523,0.0,0.0,0.0,0.0,0.0,0.16465989812005308,0.0,0.0,0.19717691066943704,0.10308889951320246,0.21183517833415388,0.0,0.0,0.0,0.0,0.0,0.07273228006679568,0.10482279924057936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14406901800161898,0.0,0.0,0.0,0.0,0.12838297265095594,0.0,0.13075276434413857,0.2650925622919931,0.0,0.0,0.0,0.0,0.21987605821745063,0.0,0.0,0.0,0.0,0.0,0.10357968663376281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34076332006350607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922843892002252,0.0,0.0,0.0,0.0,0.0,0.0,0.11395749458014813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14950481733823975,0.1332104711046978,0.0,0.0,0.0,0.19975528886646246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13244449773755265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227888770904363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0.0,0.17875397573082816,0.1584020765473267,0.0,0.0,0.14677309886002748,0.10900013964405544,0.0,0.0,0.1559068819992149,0.0,0.0,0.0,0.0,0.08183695654246433,0.09188085653204266,0.0,0.1914260304010017,0.0,0.0,0.0,0.0,0.10820196325059442,0.0,0.0,0.0,0.0,0.0,0.0,0.1721735956186426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09177763276672447,0.0,0.0,0.0,0.0,0.0,0.16845259894470904,0.28593493613795695,0.0,0.08336309591305008,0.0,0.16070195394229161,0.0,0.0,0.2430907721289194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10286928145824879,0.2113838898825728,0.0,0.0,0.0,0.0,0.0,0.07257733300696631,0.10459948732831022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14376209691057998,0.0,0.0,0.0,0.16218109411858303,0.0,0.0,0.13047421187223643,0.26452781562006067,0.0,0.2529442308684658,0.0,0.0,0.21940763967321722,0.0,0.0,0.0,0.0,0.0,0.10335902301800363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1882446355232929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09208778880819031,0.0,0.0,0.0,0.0,0.0,0.0,0.11371472233769268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13292668279478642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15402925618663618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077098998286473,0.0,0.0,0.0,0.0,0.0,0.1972634791928776,0.2704085616029117,0.0,0.0,0.0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27872603747337926,0.0,0.0,0.0,0.0,0.14630586105927693,0.16426206933549775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011549253238708,0.0,0.0,0.0,0.0,0.2872985352679299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18390687332670685,0.3779063070030183,0.0,0.0,0.0,0.0,0.0,0.12975176066646937,0.0,0.0,0.0,0.0,0.0,0.47291555641295857,0.0,0.0,0.0,0.0,0.2570139245742319,0.0,0.0,0.0,0.2899429014108399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18478241982334698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24077623739299214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032960543700069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0.0,0.2202282269602597,0.1951543081613532,0.0,0.0,0.180827191089055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10082465447543332,0.11319892630590614,0.0,0.23584043430024168,0.0,0.0,0.0,0.0,0.13330683372424695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20753673892156688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25444787826114323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08941662584163701,0.1288685163006035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12734024116966225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14009865558133883,0.0,0.18720119835554533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24557794569422337,0.0,0.0,0.31925013756293735,0.3073812293395229,0.0,0.0,0.0,0.0,0.3145943175400996,0.3877358581835048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27389529994355977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0.0,0.1869389778093416,0.16565518138306495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08558420555698659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11315644490888746,0.0,0.0,0.0,0.0,0.0,0.0,0.18005728733650284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09598005742265413,0.0,0.0,0.0,0.0,0.0,0.17616590919057254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21598605648528993,0.0,0.3291264974944915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24432740446418935,0.07590059123988813,0.10938901448536133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766403334637766,0.0,0.0,0.0,0.0,0.22945414062193595,0.0,0.0,0.0,0.0,0.0,0.10809175030295864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19686420734947313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11892162884081373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20845688481558838,0.0,0.0,0.2709929385767454,0.2609181102878251,0.0,0.0,0.0,0.0,0.26704088280284766,0.3291264974944915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23249384561167746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20210134955465905,0.22690537243682138,0.0,0.0,0.0,0.0,0.0,0.0,0.2672113397333124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41600395494974335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25404195718889455,0.5220253932245629,0.0,0.0,0.0,0.0,0.0,0.17923414515268218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22741640429874255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49225692370467217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0.0,0.0,0.0,0.0,0.264431813818456,0.0,0.10659094690525588,0.0,0.1832218694689293,0.0,0.0,0.0,0.0,0.0,0.08002814233257984,0.0,0.0,0.0,0.0,0.0,0.0,0.18365146238038033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16836810162815788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817966551498151,0.08974910319632345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08152054996757314,0.0,0.15715001371714174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18674129584024382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07097318108337419,0.10228756069980827,0.0,0.20489039853132443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15859646096492844,0.0,0.0,0.0,0.2586810479490881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10107451394712032,0.0,0.0,0.0,0.0,0.0,0.2338567628247825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26294546110990064,0.0,0.0,0.0,0.0,0.09005240396507648,0.0,0.0,0.0,0.0,0.0,0.1763243667572057,0.11120132479301788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2259300941692672,0.0,0.0,0.12998864987090494,0.0,0.0,0.36554829894141677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15062480031364978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19290343210253663,0.0,0.0,0.0,0.0
