sha256,rank,action,score
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,1,D3-PT - Process Termination,1.671203
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,2,D3-PSA - Process Spawn Analysis,1.457018
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,3,D3-OTF - Outbound Traffic Filtering,1.036268
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,4,D3-FEV - File Eviction,1.030797
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,5,D3-CQ - Content Quarantine,1.026704
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,6,D3-RC - Restore Configuration,0.812519
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,7,D3-DNSDL - DNS Denylisting,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,8,D3-DNSTA - DNS Traffic Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,9,D3-EAL - Executable Allowlisting,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,10,D3-EDL - Executable Denylisting,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,11,D3-FA - File Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,12,D3-FIM - File Integrity Monitoring,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,13,D3-FRDDL - Forward Resolution Domain Denylisting,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,14,D3-PCSV - Process Code Segment Verification,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,15,D3-PLA - Process Lineage Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,16,D3-RF - Restore File,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,17,D3-RTSD - Remote Terminal Session Detection,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,18,D3-SCA - System Call Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,19,D3-SICA - System Init Config Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,20,D3-SJA - Scheduled Job Analysis,0.600000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,21,D3-RKD - Registry Key Deletion,0.430797
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,22,D3-CCSA - Credential Compromise Scope Analysis,0.214185
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,23,D3-CR - Credential Revocation,0.214185
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,24,D3-ST - Session Termination,0.214185
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,25,D3-NI - Network Isolation,0.212519
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,26,D3-CAA - Connection Attempt Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,27,D3-CE - Credential Eviction,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,28,D3-CRO - Credential Rotation,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,29,D3-EI - Execution Isolation,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,30,D3-FAPA - File Access Pattern Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,31,D3-FCA - File Creation Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,32,D3-FCOA - File Content Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,33,D3-FHRA - File Hash Reputation Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,34,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,35,D3-ITF - Inbound Traffic Filtering,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,36,D3-NTA - Network Traffic Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,37,D3-PA - Process Analysis,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,38,D3-PSMD - Process Self,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,39,D3-RUAA - Restore User Account Access,0.000000
2777c2ab1358ff442a0744634600581a71c0ea57b983437aaf1b2b184e249c3e,40,D3-SEA - Script Execution Analysis,0.000000
