file,top_k,precision,recall,f1
1.csv,4,0.56,0.5733,0.5536
10.csv,3,0.4883,0.368,0.4105
11.csv,5,0.11,0.1417,0.1209
2.csv,5,0.515,0.6569,0.5647
3.csv,5,0.518,0.659,0.5673
4.csv,4,0.5713,0.5837,0.5641
5.csv,4,0.5725,0.5833,0.5646
6.csv,4,0.5775,0.5861,0.5686
7.csv,4,0.5637,0.5717,0.5547
8.csv,4,0.5613,0.5642,0.5501
9.csv,4,0.485,0.482,0.4733
