file,top_k,precision,recall,f1
1.csv,5,0.502,0.6383,0.5498
10.csv,3,0.4867,0.3677,0.4097
11.csv,5,0.11,0.1417,0.1209
2.csv,4,0.5737,0.5908,0.5686
3.csv,4,0.5775,0.5955,0.5726
4.csv,4,0.5713,0.5869,0.5654
5.csv,4,0.5725,0.5843,0.565
6.csv,4,0.5787,0.5862,0.5692
7.csv,4,0.5687,0.5748,0.5589
8.csv,4,0.5487,0.5523,0.5383
9.csv,4,0.4363,0.4383,0.4279
