hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.005,T1036.007,T1037.005,T1038,T1039,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1058,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1071.004,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1093,T1095,T1096,T1098,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1134.001,T1134.002,T1135,T1136,T1136.001,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1201,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.002,T1218.004,T1218.010,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1499.001,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1546.001,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1552.004,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.004,T1562.006,T1562.009,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.008,T1574.010,T1592,T1592.003,T1592.004,T1614,T1614.001,T1620,T1622,T1652
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0.0,0.0,0.0,0.0,0.0,0.0,0.29579281565360316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223530406675732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24964256605070395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264995991891643,0.0,0.0,0.0,0.0,0.0,0.5611450861610754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19719441386200934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28049544388637876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2502048061773858,0.5043735447463357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.0,0.0,0.12663167409336004,0.0,0.21617323201393404,0.0,0.08703130513756546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06542307421444411,0.0,0.0,0.0,0.0,0.0,0.0,0.14978403364856083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13764106584390526,0.0,0.13876566757296968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13466638237771186,0.2270533956139627,0.0,0.0,0.0,0.12847026946459478,0.0,0.0,0.0,0.165106069639373,0.0,0.2515939375891582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867710263927112,0.0580206357153247,0.08362016760388653,0.0,0.16701093479404833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227214012805741,0.0,0.10430524798364388,0.21035921310259212,0.0,0.2022116887941249,0.0,0.0,0.1754014677477479,0.0,0.0,0.0,0.29326728938336694,0.0,0.08253034987557153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07361791659879428,0.1484021435041881,0.2988360443407679,0.0,0.0,0.0,0.0,0.09102220300595222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18538004381975398,0.0,0.0,0.0,0.3416971829130856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12313590197437317,0.0,0.0,0.0,0.0,0.2174169196827443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21495813741438002,0.0,0.0,0.0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0.0,0.0,0.17822525649350465,0.0,0.0,0.0,0.12249049688525286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09207841770982549,0.10349558181041593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19372020815253257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895335484755987,0.0,0.0,0.09379554533022139,0.0,0.18081295134925213,0.0,0.0,0.0,0.23237528699507776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1157428265640267,0.237132351143125,0.0,0.0,0.0,0.0,0.26286720382338774,0.08166000138840589,0.11768955852423639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14680236764301216,0.0,0.0,0.0,0.0,0.0,0.24686534236001803,0.0,0.0,0.0,0.0,0.0,0.11615571601958065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21230338955824127,0.0,0.0,0.0,0.3650065795724127,0.30424875923466516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239389011075388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17096205514060817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22194995761591277,0.0,0.23574186718338297,0.0,0.0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.0,0.0,0.0,0.0,0.0,0.14712573835017775,0.10912800359739624,0.0,0.0,0.1562814664687542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085946111262665,0.0,0.0,0.0,0.0,0.0,0.0,0.1725872627650602,0.0,0.1739973937672438,0.0,0.0,0.2971637271545746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16885732596258718,0.2847008181044344,0.0,0.08356338547475076,0.0,0.0,0.0,0.0,0.2447023452013046,0.0,0.0,0.0,0.0,0.0,0.1647038825287799,0.0,0.0,0.19722958111275324,0.10311643690599305,0.2112635733108983,0.0,0.0,0.0,0.0,0.0,0.07275170851519518,0.10485079979747469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14410750211733267,0.0,0.0,0.0,0.0,0.12823839029148063,0.0,0.13078769138523808,0.26376808813701846,0.0,0.0,0.0,0.0,0.21993479212002373,0.0,0.0,0.0,0.0,0.0,0.10348428423404518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340854345706786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09230904046225094,0.0,0.0,0.0,0.0,0.0,0.0,0.11413216521774366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14954475347975033,0.13305367815791463,0.0,0.0,0.0,0.19980864805331464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13228970823650593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22284838907326646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0.0,0.17896408221537086,0.15858826151642486,0.0,0.0,0.1469456151898089,0.10899440031959366,0.0,0.0,0.15609013412974201,0.0,0.0,0.0,0.0,0.08193314727150691,0.09209235950541589,0.0,0.19165103155207025,0.0,0.0,0.0,0.0,0.10846166087042115,0.0,0.0,0.0,0.0,0.0,0.0,0.1723759675589511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09198885280839843,0.0,0.0,0.0,0.0,0.0,0.16865059724506376,0.28435226446798967,0.0,0.08346108045829599,0.0,0.16089084217520452,0.0,0.0,0.24440276091196408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1029901934715691,0.21100492745516766,0.0,0.0,0.0,0.0,0.0,0.07266264002312207,0.10472243301652591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14393107412447897,0.0,0.0,0.0,0.1620728828587973,0.0,0.0,0.1306275705758282,0.2634451620319571,0.0,0.2532415401893681,0.0,0.0,0.21966553026090946,0.0,0.0,0.0,0.0,0.0,0.10335759045134088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18891163983435108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219602831165698,0.0,0.0,0.0,0.0,0.0,0.0,0.1139924354428634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13289078314527272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15421030136564148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2079540409543441,0.0,0.0,0.0,0.0,0.0,0.19749534165060711,0.2692046642787201,0.0,0.0,0.0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27887532495824696,0.0,0.0,0.0,0.0,0.1463842234333735,0.16453497734775124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013162258674607,0.0,0.0,0.0,0.0,0.28745241423856766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840053750483892,0.37698774518919986,0.0,0.0,0.0,0.0,0.0,0.1298212565563498,0.0,0.0,0.0,0.0,0.0,0.47316885307161194,0.0,0.0,0.0,0.0,0.2571515829097196,0.0,0.0,0.0,0.2895642836503577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18466177753464355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240905198717245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20366231122901696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0.0,0.2202190266385981,0.19514615533538027,0.0,0.0,0.18081963679710003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10082044239387866,0.11332156441720172,0.0,0.23583058175823868,0.0,0.0,0.0,0.0,0.13346433032157562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20752806880338523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25443724836887904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08941289034537028,0.12886313265011334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12718366547715143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14027006350458932,0.0,0.18719337778111633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24556768635497075,0.0,0.0,0.31923680047169967,0.30736838808741956,0.0,0.0,0.0,0.0,0.3145811749518209,0.3877196600118887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27388385760986866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0.0,0.1869913043842807,0.16570155035525186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560816165430862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11332658034386088,0.0,0.0,0.0,0.0,0.0,0.0,0.1801076876395833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09611490396578948,0.0,0.0,0.0,0.0,0.0,0.17621522024788652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21604651370348443,0.0,0.32921862414746356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24439579478272638,0.07592183677156898,0.1094196338485945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752616830834273,0.0,0.0,0.0,0.0,0.2295183677265507,0.0,0.0,0.0,0.0,0.0,0.10799357288494257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19738504793094605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11910543126609115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20851523452378032,0.0,0.0,0.27106879291421193,0.26099114455393124,0.0,0.0,0.0,0.0,0.2671156309101152,0.32921862414746356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255892356801294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20223514100240586,0.22731106920750285,0.0,0.0,0.0,0.0,0.0,0.0,0.2677153265795855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4162793502972943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254210133409962,0.5208223127898577,0.0,0.0,0.0,0.0,0.0,0.1793527984710221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22756695435711446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49258279865123217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0.0,0.0,0.0,0.0,0.2644675343581437,0.0,0.10647458275601654,0.0,0.1836762707771308,0.0,0.0,0.0,0.0,0.0,0.08003895286400964,0.0,0.0,0.0,0.0,0.0,0.0,0.18324661983449805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16839084548552324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38184822981617605,0.08986218275672382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08153156209957962,0.0,0.15717124218893885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18676652162443774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07098276843330399,0.10230137812524877,0.0,0.20432210650846747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583259555340019,0.0,0.0,0.0,0.2573546312855972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10096808905507988,0.0,0.0,0.0,0.0,0.0,0.23483234407128195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629809808669361,0.0,0.0,0.0,0.0,0.09006456861509857,0.0,0.0,0.0,0.0,0.0,0.17634818537966912,0.11135706940477694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22679497665582762,0.0,0.0,0.12981851036405553,0.0,0.0,0.3655976787128276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15064514733271628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19292949029350395,0.0,0.0,0.0,0.0
