hash,T1001,T1003,T1005,T1006,T1007,T1010,T1012,T1014,T1016,T1018,T1020,T1021,T1021.001,T1022,T1027,T1027.002,T1027.004,T1027.005,T1027.009,T1031,T1032,T1033,T1036,T1036.005,T1036.007,T1037.005,T1038,T1039,T1041,T1045,T1046,T1047,T1048,T1049,T1050,T1053,T1053.002,T1053.005,T1055,T1055.002,T1055.003,T1055.004,T1055.011,T1055.012,T1056,T1056.001,T1056.004,T1057,T1058,T1059,T1059.001,T1059.003,T1060,T1063,T1064,T1065,T1067,T1069,T1070,T1070.001,T1070.004,T1070.006,T1071,T1071.001,T1074,T1079,T1080,T1081,T1082,T1083,T1086,T1087,T1087.001,T1088,T1089,T1090,T1090.003,T1091,T1093,T1095,T1096,T1098,T1102,T1105,T1106,T1107,T1112,T1113,T1114,T1115,T1116,T1118,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1134.001,T1134.002,T1135,T1136,T1136.001,T1140,T1143,T1158,T1170,T1176,T1179,T1185,T1188,T1198,T1201,T1202,T1203,T1204.002,T1213,T1214,T1217,T1218,T1218.002,T1218.004,T1218.010,T1218.011,T1219,T1222,T1222.001,T1485,T1486,T1489,T1490,T1491,T1495,T1496,T1497,T1497.001,T1497.002,T1497.003,T1499,T1499.001,T1518,T1518.001,T1529,T1539,T1542,T1542.001,T1542.003,T1543,T1543.002,T1543.003,T1546.001,T1547,T1547.001,T1547.004,T1547.008,T1547.009,T1548,T1548.002,T1550.004,T1552,T1552.001,T1552.002,T1552.004,T1553.004,T1553.005,T1555,T1555.003,T1555.004,T1559.001,T1560,T1560.002,T1562,T1562.001,T1562.004,T1562.006,T1562.009,T1564,T1564.001,T1564.002,T1564.003,T1564.004,T1565,T1566,T1566.002,T1569.002,T1571,T1573,T1574.001,T1574.002,T1574.008,T1574.010,T1592,T1592.003,T1592.004,T1614,T1614.001,T1620,T1622,T1652
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0.0,0.0,0.0,0.0,0.0,0.0,0.2961006802232631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22231144454269372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249315455743914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267041029550686,0.0,0.0,0.0,0.0,0.0,0.5610401113830855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1971575242227226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2807764937071057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25015799975489683,0.5042791903588707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.0,0.0,0.12640801969760765,0.0,0.21579143106302603,0.0,0.08698428770314175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653075252553353,0.0,0.0,0.0,0.0,0.0,0.0,0.14987006030631309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13767638935226936,0.0,0.13880500857962974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13469168460026174,0.2281817879373694,0.0,0.0,0.0,0.12824336777751713,0.0,0.0,0.0,0.16481446251576332,0.0,0.25360401689315126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644115504455927,0.05791816079887913,0.08357250005658753,0.0,0.16720224269422737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10223391384138357,0.0,0.10426902320205021,0.21109847835533374,0.0,0.20185454644885373,0.0,0.0,0.1750916770925736,0.0,0.0,0.0,0.29274932641027523,0.0,0.08248256400654988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734878940687177,0.1481400385294934,0.2983082459411606,0.0,0.0,0.0,0.0,0.09086144136429267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18505262919792337,0.0,0.0,0.0,0.34109368400555024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229184217432329,0.0,0.0,0.0,0.0,0.2170329221549051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21579143106302603,0.0,0.0,0.0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0.0,0.0,0.17812612944039724,0.0,0.0,0.0,0.12257271752026203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09202720464170065,0.103321760045433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19400479818696967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18979894236967818,0.0,0.0,0.09384557290190543,0.0,0.1807123850469023,0.0,0.0,0.0,0.23224604225239645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11567845159528577,0.23770518008069194,0.0,0.0,0.0,0.2627209997904338,0.08161458293619749,0.11776504369223222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692926578505433,0.0,0.0,0.0,0.0,0.0,0.24672803839769555,0.0,0.0,0.0,0.0,0.0,0.11622917523708833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21218530859830512,0.0,0.0,0.0,0.3648035666700346,0.3040795392065508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3237587296251944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17086696780532978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22182651133411946,0.0,0.23630235824227114,0.0,0.0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.0,0.0,0.0,0.0,0.0,0.1469029877672241,0.10909660084254896,0.0,0.0,0.1560448539755825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084301972500457,0.0,0.0,0.0,0.0,0.0,0.0,0.1726751634256975,0.0,0.17409068943162134,0.0,0.0,0.2967138167976335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689317155966607,0.2861879782599313,0.0,0.08352782915192415,0.0,0.0,0.0,0.0,0.24433186216648725,0.0,0.0,0.0,0.0,0.0,0.16445451837088734,0.0,0.0,0.19693097255750505,0.10296031706801988,0.2115709570131919,0.0,0.0,0.0,0.0,0.07264156133317008,0.10481750119289786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14388932118947742,0.0,0.0,0.0,0.0,0.1282228409915705,0.0,0.13077529637695343,0.2647619132112464,0.0,0.0,0.0,0.0,0.2196018075334661,0.0,0.0,0.0,0.0,0.0,0.10345049203141952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033828709556085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216928318520728,0.0,0.0,0.0,0.0,0.0,0.0,0.11395936740125621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14931834047147036,0.1330443181223743,0.0,0.0,0.0,0.1995061347518886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13208941962651227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22325872231426447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0.0,0.17866021016964206,0.15831898659344018,0.0,0.0,0.14669610889700502,0.10894296352127943,0.0,0.0,0.15582510090190693,0.0,0.0,0.0,0.0,0.08179402889218637,0.0918326603448543,0.0,0.1913256177019678,0.0,0.0,0.0,0.0,0.10827749840405446,0.0,0.0,0.0,0.0,0.0,0.0,0.17243199040881502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09172949072565646,0.0,0.0,0.0,0.0,0.0,0.16869381435994668,0.2857849487061246,0.0,0.08341019952988962,0.0,0.1606176575856176,0.0,0.0,0.24398777726820306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10281532128273209,0.2112730082701247,0.0,0.0,0.0,0.0,0.07253926250066868,0.10466988999345558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14368668637137938,0.0,0.0,0.0,0.16209602187757896,0.0,0.0,0.13059112962869165,0.2643890573128424,0.0,0.25281154874120565,0.0,0.0,0.21929254919549013,0.0,0.0,0.0,0.0,0.0,0.1033048059481046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18859087733414526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09203948407448755,0.0,0.0,0.0,0.0,0.0,0.0,0.11379888199835747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13285695598195385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1539484599996626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20760094541103663,0.0,0.0,0.0,0.0,0.0,0.19716000445474985,0.27026671854501855,0.0,0.0,0.0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786619421165025,0.0,0.0,0.0,0.0,0.14627221681684174,0.1642242959145041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30167505530560007,0.0,0.0,0.0,0.0,0.28723246859430634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18386458242060846,0.37781940432312194,0.0,0.0,0.0,0.0,0.12972192317629197,0.0,0.0,0.0,0.0,0.0,0.4728068055706059,0.0,0.0,0.0,0.0,0.2569548220972362,0.0,0.0,0.0,0.28987622664335755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18473992757809252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24072086890642005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20350647799876329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0.0,0.22013943458714194,0.19507562517695573,0.0,0.0,0.18075428456093812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10078400364486896,0.1131532863739146,0.0,0.23574534734373442,0.0,0.0,0.0,0.0,0.1334160933458308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2078591583222996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2543452890914558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08938057453924836,0.12897091288305754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12728889969376286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402193667855881,0.0,0.18712572193328145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24547893273442004,0.0,0.0,0.319121421195723,0.3072572983195005,0.0,0.0,0.0,0.0,0.31446747832239663,0.38757952950817487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27470490040576095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0.0,0.18665696142399135,0.16540527376071862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854550931130378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131239508981955,0.0,0.0,0.0,0.0,0.0,0.0,0.18014996932690955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583526178304358,0.0,0.0,0.0,0.0,0.0,0.1762444741867932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2156602196392248,0.0,0.33184161844617105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439588118236579,0.07578608750910786,0.10935486754555293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762229934964793,0.0,0.0,0.0,0.0,0.2291079858066045,0.0,0.0,0.0,0.0,0.0,0.10792868294769735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19703212081778756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11889246915746708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20814240648770846,0.0,0.0,0.27058411827672857,0.2605244888868841,0.0,0.0,0.0,0.0,0.26663802457931757,0.3286299768317914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23292320203412775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20201520882512675,0.2268086596025945,0.0,0.0,0.0,0.0,0.0,0.0,0.26742418422730296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416640634982675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539336780528458,0.5218028927399998,0.0,0.0,0.0,0.0,0.1791577510066036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273194736497534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49204711129808165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0.0,0.0,0.0,0.0,0.26427811227651093,0.0,0.10652899069559961,0.0,0.18354471458577604,0.0,0.0,0.0,0.0,0.0,0.07998162580834663,0.0,0.0,0.0,0.0,0.0,0.0,0.18354471458577604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16861121919357763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381574735049663,0.08969693634336327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08156198511987538,0.0,0.15705866994471052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18663275207351243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07093192777420636,0.10235060050522954,0.0,0.20477130556089376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158504276442025,0.0,0.0,0.0,0.25853068905176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101576417559817,0.0,0.0,0.0,0.0,0.0,0.2346641478820724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26279262351355986,0.0,0.0,0.0,0.0,0.09000006081791344,0.0,0.0,0.0,0.0,0.0,0.17622187785217674,0.11127731107851443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266325371462437,0.0,0.0,0.12991309369771983,0.0,0.0,0.3653358232321163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15053724933508533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19279130658128218,0.0,0.0,0.0,0.0
