sha256,rank,action,score
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,1,D3-PT - Process Termination,1.734025
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,2,D3-FEV - File Eviction,1.497845
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,3,D3-RKD - Registry Key Deletion,0.897845
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,4,D3-PSA - Process Spawn Analysis,0.836181
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,5,D3-SICA - System Init Config Analysis,0.836181
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,6,D3-RF - Restore File,0.819984
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,7,D3-CAA - Connection Attempt Analysis,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,8,D3-CCSA - Credential Compromise Scope Analysis,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,9,D3-CQ - Content Quarantine,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,10,D3-CR - Credential Revocation,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,11,D3-CRO - Credential Rotation,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,12,D3-EAL - Executable Allowlisting,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,13,D3-EDL - Executable Denylisting,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,14,D3-FA - File Analysis,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,15,D3-FIM - File Integrity Monitoring,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,16,D3-PLA - Process Lineage Analysis,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,17,D3-RC - Restore Configuration,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,18,D3-RTSD - Remote Terminal Session Detection,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,19,D3-SCA - System Call Analysis,0.600000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,20,D3-NI - Network Isolation,0.435622
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,21,D3-OTF - Outbound Traffic Filtering,0.247352
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,22,D3-FAPA - File Access Pattern Analysis,0.215638
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,23,D3-FRDDL - Forward Resolution Domain Denylisting,0.214872
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,24,D3-CE - Credential Eviction,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,25,D3-DNSDL - DNS Denylisting,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,26,D3-DNSTA - DNS Traffic Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,27,D3-EI - Execution Isolation,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,28,D3-FCA - File Creation Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,29,D3-FCOA - File Content Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,30,D3-FHRA - File Hash Reputation Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,31,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,32,D3-ITF - Inbound Traffic Filtering,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,33,D3-NTA - Network Traffic Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,34,D3-PA - Process Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,35,D3-PCSV - Process Code Segment Verification,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,36,D3-PSMD - Process Self,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,37,D3-RUAA - Restore User Account Access,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,38,D3-SEA - Script Execution Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,39,D3-SJA - Scheduled Job Analysis,0.000000
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,40,D3-ST - Session Termination,0.000000
