file,top_k,precision,recall,f1
1.csv,4,0.5825,0.5987,0.5767
10.csv,3,0.48,0.3592,0.4021
11.csv,5,0.11,0.1417,0.1209
2.csv,3,0.6867,0.5264,0.5826
3.csv,3,0.69,0.5287,0.5852
4.csv,3,0.6883,0.5281,0.5842
5.csv,3,0.6917,0.5338,0.5883
6.csv,3,0.6967,0.5341,0.5903
7.csv,4,0.5813,0.5864,0.5706
8.csv,4,0.5363,0.5377,0.5249
9.csv,3,0.48,0.3592,0.4021
