file,top_k,precision,recall,f1
1.csv,4,0.585,0.597,0.5775
10.csv,4,0.4338,0.428,0.4221
11.csv,5,0.11,0.1417,0.1209
2.csv,4,0.5863,0.5983,0.5787
3.csv,3,0.68,0.5269,0.5799
4.csv,3,0.685,0.5297,0.5835
5.csv,3,0.6917,0.5335,0.5885
6.csv,3,0.7117,0.5455,0.6035
7.csv,3,0.7117,0.5424,0.6017
8.csv,3,0.7,0.5318,0.5906
9.csv,4,0.5687,0.5683,0.5561
